[tileset]
img=images/tilesets/map1.png
tile=1,0,0,32,32,16,16
tile=2,0,32,32,32,16,16
tile=3,0,64,32,32,16,16
tile=4,0,96,32,32,16,16
tile=5,0,128,32,32,16,16
tile=6,0,160,32,32,16,16
tile=7,0,192,32,32,16,16
tile=8,0,224,32,32,16,16
tile=9,0,256,32,32,16,16
tile=10,0,288,32,32,16,16


[tileset]
img=images/tilesets/sites.png
tile=11,0,0,120,120,16,104
tile=12,120,0,120,120,16,104
tile=13,240,0,120,120,16,104
tile=14,360,0,120,120,16,104
tile=15,480,0,120,120,16,104
tile=16,600,0,120,120,16,104
tile=17,0,120,120,120,16,104
tile=18,120,120,120,120,16,104
tile=19,240,120,120,120,16,104
tile=20,360,120,120,120,16,104
tile=21,480,120,120,120,16,104
tile=22,600,120,120,120,16,104
tile=23,0,240,120,120,16,104
tile=24,120,240,120,120,16,104
tile=25,240,240,120,120,16,104
tile=26,360,240,120,120,16,104
tile=27,480,240,120,120,16,104
tile=28,600,240,120,120,16,104
tile=29,0,360,120,120,16,104
tile=30,120,360,120,120,16,104
tile=31,240,360,120,120,16,104
tile=32,360,360,120,120,16,104
tile=33,480,360,120,120,16,104
tile=34,600,360,120,120,16,104
tile=35,0,480,120,120,16,104
tile=36,120,480,120,120,16,104
tile=37,240,480,120,120,16,104
tile=38,360,480,120,120,16,104
tile=39,480,480,120,120,16,104
tile=40,600,480,120,120,16,104


